record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
26382,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No,No,No,No
26383,No,No,No,16 years old,Female,0 times,0 times,Most of the time,0,0 days,Rarely,Always,Yes,No,No,No,No
26385,No,No,Yes,16 years old,Female,0 times,0 times,Most of the time,1,1 or 2 days,Most of the time,Most of the time,Yes,Yes,No,Yes,No
26388,No,No,No,17 years old,Male,0 times,4 or 5 times,Sometimes,2,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
26389,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26391,Yes,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,No
26392,No,Yes,No,17 years old,Male,1 time,4 or 5 times,Most of the time,0,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
26394,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
26400,No,No,No,17 years old,Female,1 time,1 time,Most of the time,2,1 or 2 days,Rarely,Never,Yes,Yes,No,Yes,No
26404,No,Yes,No,17 years old,Female,2 or 3 times,0 times,Always,3 or more,0 days,Never,Always,Yes,No,No,Yes,No
26408,No,No,No,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Most of the time,Always,No,Yes,No,Yes,No
26410,No,No,No,17 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
26413,No,No,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
26414,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26415,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26417,No,No,No,17 years old,Male,0 times,0 times,Never,0,0 days,Never,Never,No,No,No,No,No
26418,No,No,No,17 years old,Male,0 times,1 time,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
26420,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,Yes,No
26421,No,No,No,17 years old,Male,1 time,4 or 5 times,Never,3 or more,10 or more days,Most of the time,Never,No,Yes,No,Yes,Yes
26422,Yes,Yes,Yes,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,Yes,No,No
26426,Yes,Yes,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Sometimes,Yes,No,No,No,No
26427,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
26428,No,No,No,17 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
26434,No,Yes,No,13 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Most of the time,Yes,No,No,Yes,No
26437,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,Yes,Yes
26438,No,No,Yes,13 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Sometimes,Always,No,Yes,No,No,No
26439,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,Yes
26440,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes,No,No,No
26441,No,No,No,14 years old,Male,0 times,0 times,Sometimes,2,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
26443,Yes,Yes,Yes,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,No
26444,Yes,No,Yes,13 years old,Female,0 times,0 times,Always,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26445,No,No,No,14 years old,Female,1 time,2 or 3 times,Always,3 or more,6 to 9 days,Rarely,Never,Yes,Yes,No,No,No
26448,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Always,No,Yes,No,No,No
26449,Yes,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No,Yes,No,No
26450,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
26452,Yes,Yes,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Rarely,No,No,No,No,No
26453,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26454,Yes,No,No,13 years old,Female,1 time,0 times,Sometimes,1,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26455,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26456,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,Yes,No
26457,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26458,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
26459,No,No,No,14 years old,Male,0 times,0 times,Never,1,0 days,Always,Always,No,No,No,Yes,No
26463,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
26464,No,No,No,14 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
26465,No,Yes,Yes,14 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Always,Yes,Yes,No,No,No
26466,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
26467,Yes,Yes,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
26468,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26470,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,No,No
26471,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,No,Yes,Yes
26474,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
26476,No,No,No,14 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,Yes,No
26478,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No,No,Yes,No
26480,Yes,No,No,14 years old,Female,0 times,0 times,Most of the time,2,0 days,Rarely,Sometimes,Yes,No,No,No,No
26481,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
26483,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Never,Always,No,Yes,No,Yes,No
26484,Yes,Yes,No,15 years old,Female,1 time,1 time,Sometimes,3 or more,3 to 5 days,Most of the time,Sometimes,No,Yes,No,No,No
26486,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
26488,Yes,No,No,15 years old,Male,1 time,1 time,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
26489,No,Yes,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
26493,No,No,Yes,16 years old,Male,12 or more times,12 or more times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
26494,No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Rarely,Yes,Yes,No,Yes,No
26497,Yes,Yes,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
26499,Yes,Yes,No,15 years old,Female,0 times,0 times,Always,3 or more,3 to 5 days,Sometimes,Most of the time,Yes,Yes,No,Yes,Yes
26505,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
26506,No,No,Yes,15 years old,Female,0 times,0 times,Always,1,0 days,Rarely,Rarely,Yes,No,No,Yes,No
26507,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26508,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Always,Most of the time,No,Yes,No,Yes,No
26510,No,No,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Sometimes,Yes,No,No,Yes,No
26512,Yes,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26513,No,No,No,15 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Never,No,No,No,No,No
26514,No,No,No,15 years old,Female,0 times,0 times,Never,1,0 days,Most of the time,Never,No,No,No,Yes,No
26515,No,No,No,16 years old,Female,1 time,1 time,Most of the time,3 or more,0 days,Never,Never,Yes,No,No,No,No
26519,Yes,Yes,Yes,15 years old,Female,1 time,0 times,Most of the time,3 or more,3 to 5 days,Sometimes,Never,Yes,Yes,No,No,No
26520,Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26525,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
26528,No,No,No,15 years old,Female,0 times,0 times,Always,2,0 days,Never,Always,Yes,No,No,No,No
26529,No,No,No,15 years old,Female,0 times,2 or 3 times,Never,0,0 days,Most of the time,Never,No,No,No,No,No
26530,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
26531,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
26532,No,Yes,No,15 years old,Male,0 times,1 time,Rarely,3 or more,3 to 5 days,Most of the time,Never,No,Yes,No,Yes,No
26535,No,No,No,15 years old,Male,0 times,0 times,Never,1,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26537,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Always,Most of the time,No,Yes,No,Yes,No
26538,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,2,6 to 9 days,Most of the time,Always,No,Yes,No,No,No
26539,No,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Most of the time,No,Yes,No,No,No
26540,No,No,Yes,16 years old,Female,0 times,0 times,Rarely,2,10 or more days,Sometimes,Most of the time,No,Yes,No,No,No
26541,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26542,No,No,No,15 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Never,No,No,No,No,No
26543,No,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
26544,No,Yes,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
26545,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26546,No,No,No,16 years old,Female,0 times,1 time,Always,0,0 days,Most of the time,Always,Yes,No,No,Yes,Yes
26547,Yes,No,Yes,16 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
26549,No,No,Yes,17 years old,Male,0 times,12 or more times,Always,3 or more,3 to 5 days,Sometimes,Most of the time,Yes,Yes,No,No,No
26550,Yes,No,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No,No,No,No
26551,No,No,No,16 years old,Female,0 times,0 times,Rarely,1,0 days,Always,Always,No,No,No,Yes,No
26552,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26554,Yes,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Sometimes,Most of the time,No,Yes,No,No,No
26555,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26556,No,No,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Sometimes,Yes,No,No,No,No
26558,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Most of the time,No,Yes,No,No,No
26559,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
26560,No,Yes,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Most of the time,Never,Yes,Yes,No,Yes,No
26561,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
26563,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,3 to 5 days,Sometimes,Always,No,Yes,No,No,No
26564,No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No,No,No,No
26565,No,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Sometimes,No,No,No,No,No
26566,Yes,Yes,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
26568,No,No,No,16 years old,Female,0 times,0 times,Sometimes,1,0 days,Most of the time,Never,No,No,No,Yes,No
26569,Yes,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
26570,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
26571,Yes,No,No,16 years old,Male,0 times,0 times,Never,2,0 days,Sometimes,Never,No,No,No,No,No
26572,No,No,No,16 years old,Male,0 times,12 or more times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
26573,No,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
26574,Yes,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,10 or more days,Most of the time,Rarely,No,Yes,No,No,No
26576,Yes,No,Yes,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Rarely,Never,No,Yes,No,No,No
26579,Yes,No,No,17 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26580,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
26583,No,Yes,Yes,17 years old,Female,2 or 3 times,0 times,Most of the time,2,6 to 9 days,Sometimes,Rarely,Yes,Yes,No,No,No
26584,Yes,No,Yes,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
26585,No,Yes,No,17 years old,Male,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
26586,Yes,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
26587,No,No,No,17 years old,Female,0 times,0 times,Always,2,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
26588,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
26589,Yes,Yes,Yes,17 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Rarely,Yes,No,No,No,No
26591,Yes,No,Yes,17 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Most of the time,Sometimes,No,Yes,No,Yes,No
26593,No,No,No,17 years old,Female,0 times,0 times,Always,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26594,No,No,No,17 years old,Male,0 times,0 times,Sometimes,0,0 days,Rarely,Rarely,No,No,No,No,No
26595,No,No,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
26596,Yes,Yes,No,17 years old,Female,1 time,0 times,Most of the time,2,1 or 2 days,Rarely,Sometimes,Yes,Yes,No,No,No
26597,No,No,Yes,17 years old,Male,0 times,1 time,Most of the time,1,1 or 2 days,Most of the time,Rarely,Yes,Yes,No,Yes,Yes
26598,No,No,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
26599,No,No,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,Yes,No
26600,Yes,No,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26601,No,No,No,17 years old,Female,0 times,0 times,Always,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26602,No,Yes,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Never,Never,No,No,No,No,No
26603,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Never,No,No,No,Yes,Yes
26604,No,Yes,No,17 years old,Male,0 times,6 or 7 times,Rarely,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
26605,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,10 or more days,Sometimes,Sometimes,No,Yes,No,Yes,Yes
26606,No,Yes,Yes,17 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Sometimes,Never,No,Yes,No,No,No
26607,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
26608,Yes,Yes,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,No,No
26609,Yes,Yes,Yes,17 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
26610,No,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26612,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
26615,No,No,Yes,17 years old,Male,1 time,2 or 3 times,Never,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
26617,Yes,Yes,Yes,17 years old,Female,0 times,0 times,Sometimes,1,6 to 9 days,Sometimes,Most of the time,No,Yes,No,No,No
26618,No,No,No,17 years old,Female,0 times,1 time,Rarely,2,0 days,Never,Never,No,No,No,No,No
26619,No,Yes,No,13 years old,Male,2 or 3 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
26623,No,Yes,No,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
26624,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
26625,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,Yes,No,No
26626,No,No,Yes,13 years old,Male,0 times,0 times,Rarely,0,0 days,Most of the time,Always,No,No,No,Yes,No
26627,No,No,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,3 to 5 days,Always,Always,Yes,Yes,No,No,No
26628,No,No,No,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Rarely,Sometimes,No,No,No,No,No
26629,No,No,No,14 years old,Male,0 times,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No,No,No,No
26630,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
26636,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
26638,No,No,No,13 years old,Female,0 times,2 or 3 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
26643,No,No,Yes,14 years old,Female,0 times,0 times,Sometimes,1,0 days,Most of the time,Rarely,No,No,No,Yes,Yes
26645,No,No,No,14 years old,Female,0 times,0 times,Never,1,0 days,Sometimes,Most of the time,No,No,No,No,No
26646,No,No,No,14 years old,Female,0 times,0 times,Most of the time,0,0 days,Most of the time,Sometimes,Yes,No,No,No,No
26647,No,Yes,Yes,14 years old,Female,2 or 3 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
26649,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,No,No
26651,Yes,Yes,Yes,14 years old,Male,0 times,4 or 5 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
26653,No,No,No,15 years old,Female,2 or 3 times,0 times,Sometimes,3 or more,0 days,Never,Rarely,No,No,No,No,No
26655,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
26656,No,Yes,Yes,15 years old,Male,0 times,1 time,Rarely,3 or more,3 to 5 days,Most of the time,Most of the time,No,Yes,No,No,No
26657,No,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
26660,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
26662,Yes,Yes,No,15 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
26663,No,No,No,15 years old,Female,0 times,0 times,Most of the time,0,0 days,Sometimes,Never,Yes,No,No,No,No
26664,No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Never,Yes,Yes,No,No,No
26665,No,No,No,15 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
26672,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,No,No
26673,No,No,No,17 years old,Female,0 times,0 times,Sometimes,0,0 days,Sometimes,Rarely,No,No,No,No,No
26677,No,No,No,17 years old,Female,0 times,0 times,Rarely,0,3 to 5 days,Sometimes,Most of the time,No,Yes,No,No,No
26682,No,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,1,0 days,Most of the time,Rarely,No,No,No,No,No
26684,Yes,Yes,Yes,16 years old,Male,1 time,0 times,Sometimes,2,0 days,Sometimes,Most of the time,No,No,No,No,No
26687,No,No,No,16 years old,Female,0 times,0 times,Most of the time,0,0 days,Sometimes,Never,Yes,No,No,No,No
26689,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,6 to 9 days,Sometimes,Sometimes,No,Yes,No,No,No
26690,No,No,No,17 years old,Male,0 times,0 times,Sometimes,1,1 or 2 days,Sometimes,Never,No,Yes,No,No,No
26691,No,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Rarely,Sometimes,No,No,No,Yes,No
26692,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
26693,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No,No,Yes,No
26694,No,No,No,17 years old,Female,0 times,0 times,Never,2,0 days,Most of the time,Rarely,No,No,No,No,No
26696,No,No,No,17 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Never,Always,No,Yes,No,No,No
26697,No,Yes,Yes,17 years old,Male,1 time,1 time,Most of the time,3 or more,10 or more days,Rarely,Rarely,Yes,Yes,No,Yes,Yes
26698,No,Yes,No,17 years old,Male,0 times,1 time,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
26699,No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26700,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,Yes,No
26701,Yes,Yes,Yes,17 years old,Female,0 times,0 times,Never,0,0 days,Sometimes,Always,No,No,No,No,No
26703,Yes,No,No,17 years old,Male,1 time,1 time,Sometimes,3 or more,3 to 5 days,Sometimes,Never,No,Yes,No,No,No
26704,Yes,No,Yes,17 years old,Male,12 or more times,0 times,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No,No,No,No
26705,No,No,No,13 years old,Female,0 times,1 time,Rarely,3 or more,0 days,Always,Rarely,No,No,No,Yes,No
26707,No,No,No,13 years old,Male,1 time,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No,No,Yes,No
26708,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,No
26717,No,No,No,13 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
26721,Yes,No,Yes,13 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,No
26722,Yes,No,No,13 years old,Female,1 time,0 times,Sometimes,3 or more,10 or more days,Never,Never,No,Yes,No,No,No
26723,Yes,Yes,No,13 years old,Male,0 times,1 time,Most of the time,3 or more,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,No,No
26724,Yes,No,No,13 years old,Male,1 time,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
26727,Yes,No,Yes,13 years old,Male,1 time,0 times,Sometimes,2,0 days,Most of the time,Rarely,No,No,Yes,No,No
26728,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
26731,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,Yes,No,No
26733,No,No,Yes,15 years old,Male,0 times,0 times,Sometimes,1,0 days,Most of the time,Rarely,No,No,No,Yes,No
26734,No,Yes,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
26735,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,Yes,No
26736,No,No,No,14 years old,Male,1 time,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
26738,Yes,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Most of the time,No,No,No,Yes,No
26739,No,Yes,No,14 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
26740,Yes,No,No,14 years old,Male,6 or 7 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
26745,No,Yes,No,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Most of the time,No,No,No,No,No
26746,No,No,No,14 years old,Male,0 times,0 times,Never,0,0 days,Sometimes,Never,No,No,No,No,No
26747,No,No,No,15 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No,No,No,No
26748,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Sometimes,No,No,No,No,No
26754,Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No,No,No,No
26755,No,No,Yes,15 years old,Female,0 times,0 times,Always,1,0 days,Rarely,Never,Yes,No,No,Yes,Yes
